City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,boende,-0.2167,20.8667,26.27,55,99,0.95,CD,1707700873
82,kerikeri,-35.2268,173.9474,22.55,53,23,3.61,NZ,1707700874
83,afaahiti,-17.75,-149.2833,25.93,89,96,8.93,PF,1707700874
84,labrador city,52.9463,-66.9114,-9.05,86,100,5.66,CA,1707700875
85,abong mbang,3.9833,13.1833,21.91,32,100,0.91,CM,1707700875
86,muli,2.9167,73.5667,27.8,78,100,8.75,MV,1707700875
87,yuzhno-kurilsk,44.0306,145.8556,-5.35,80,100,6.23,RU,1707700876
88,wailua homesteads,22.0669,-159.378,25.24,71,100,7.72,US,1707700876
89,margaret river,-33.95,115.0667,20.88,60,0,6.91,AU,1707700876
90,kingston,17.997,-76.7936,26.53,75,20,7.72,JM,1707700876
91,nanao,37.05,136.9667,5.66,77,15,2.57,JP,1707700877
92,avarua,-21.2078,-159.775,29.03,61,20,6.17,CK,1707700878
93,lihue,21.9789,-159.3672,25.58,71,100,7.72,US,1707700878
94,gadzhiyevo,69.2551,33.3362,-20.52,99,100,2.51,RU,1707700879
95,albany,42.6001,-73.9662,2.54,73,100,1.34,US,1707700834
96,geraldton,-28.7667,114.6,25.23,73,0,6.17,AU,1707700708
97,nova sintra,14.8667,-24.7167,20.27,79,0,7.19,CV,1707700881
98,lebu,-37.6167,-73.65,14.97,87,0,9.52,CL,1707700881
99,port mathurin,-19.6833,63.4167,27.47,85,98,8.24,MU,1707700881
100,zara,44.1197,15.2422,9.34,93,75,2.57,HR,1707700882
101,manismata,-2.4667,111.0333,25.41,94,100,1.17,ID,1707700882
102,cockburn town,21.4612,-71.1419,23.98,64,40,5.14,TC,1707700883
103,anadyr,64.75,177.4833,-23.72,69,100,7.0,RU,1707700883
104,benemerito de las americas,16.5167,-90.6439,24.29,64,0,0.4,MX,1707700884
105,talnakh,69.4865,88.3972,-33.64,88,15,1.49,RU,1707700884
106,ribeira grande,38.5167,-28.7,17.65,88,11,12.96,PT,1707700884
107,auki,-8.7676,160.7034,27.53,86,81,5.23,SB,1707700885
108,port lincoln,-34.7333,135.8667,23.82,58,0,2.99,AU,1707700885
109,ranikhet,29.65,79.4167,2.92,58,0,2.22,IN,1707700886
110,udachny,66.4167,112.4,-31.31,98,100,3.2,RU,1707700886
111,laojunmiao,39.8333,97.7333,-3.77,21,10,0.45,CN,1707700887
112,lorengau,-2.0226,147.2712,29.07,74,89,3.14,PG,1707700887
113,whitehorse,60.7161,-135.0538,0.43,48,75,3.6,CA,1707700725
114,sibsagar,26.9833,94.6333,14.74,68,0,0.81,IN,1707700887
115,siverek,37.755,39.3167,7.22,80,100,1.82,TR,1707700888
116,itoman,26.1247,127.6694,18.01,45,20,4.63,JP,1707700888
117,petropavlovsk-kamchatsky,53.0452,158.6483,-13.67,72,0,3.13,RU,1707700888
118,danville,36.586,-79.395,11.91,96,40,0.0,US,1707700889
119,zeya,53.75,127.2667,-9.97,89,100,2.87,RU,1707700889
120,pokhara,28.2333,83.9833,11.15,22,0,3.11,NP,1707700890
121,jamestown,42.097,-79.2353,0.77,84,100,2.06,US,1707700777
122,tarawa,1.419,172.984,31.05,74,75,4.63,KI,1707700890
123,puerto ayora,-0.7393,-90.3518,26.97,95,37,6.01,EC,1707700891
124,tikrit,34.6071,43.6782,14.12,56,0,3.59,IQ,1707700891
125,pokachi,61.7198,75.3683,-24.91,95,89,4.38,RU,1707700891
126,mar del plata,-38.0023,-57.5575,24.41,90,0,2.06,AR,1707700892
127,singkawang,0.9,109.0,26.18,84,100,2.51,ID,1707700892
128,guayaramerin,-10.8368,-65.3614,25.2,94,100,1.78,BO,1707700893
129,tazacorte,28.629,-17.9293,19.54,71,100,3.09,ES,1707700893
130,papatowai,-46.5619,169.4708,17.06,55,90,5.54,NZ,1707700893
131,enewetak,11.3474,162.3373,26.49,77,100,9.83,MH,1707700880
132,chonchi,-42.6128,-73.8092,11.84,73,1,2.51,CL,1707700596
133,urangan,-25.3,152.9,26.22,92,31,2.68,AU,1707700894
134,jijiang,29.2906,106.2542,14.71,66,71,1.43,CN,1707700894
135,vangviang,18.9333,102.45,19.56,82,9,0.53,LA,1707700895
136,constantia,44.1833,28.65,13.38,71,100,9.17,RO,1707700895
137,vilaka,57.1846,27.6722,-1.32,98,100,2.7,LV,1707700895
138,lusambo,-4.9667,23.45,21.18,81,97,1.15,CD,1707700896
139,puerto madero,14.7208,-92.4215,26.11,89,0,1.54,MX,1707700714
140,vrede,-27.4257,29.1659,10.32,95,1,1.85,ZA,1707700896
141,belmonte,-15.8631,-38.8828,25.34,86,10,2.55,BR,1707700897
142,luderitz,-26.6481,15.1594,17.92,90,3,1.56,,1707700897
143,west island,-12.1568,96.8225,28.99,74,40,3.6,CC,1707700749
144,bubaque,11.2833,-15.8333,26.33,63,0,6.36,GW,1707700897
145,tual,-5.6667,132.75,28.81,80,69,8.17,ID,1707700897
146,piti village,13.4626,144.6933,30.49,64,40,8.23,GU,1707700898
147,mukalla,14.5425,49.1242,23.1,76,53,2.01,YE,1707700898
148,newman,37.3138,-121.0208,14.58,67,99,1.34,US,1707700899
149,mitu,1.1983,-70.1733,23.16,97,98,1.13,CO,1707700899
150,longyearbyen,78.2186,15.6401,-8.09,73,75,4.63,SJ,1707700793
151,fuxin,42.0156,121.6589,-1.07,75,2,5.05,CN,1707700899
152,carnarvon,-24.8667,113.6333,29.37,52,0,6.21,AU,1707700900
153,ust-nera,64.5667,143.2,-33.27,99,72,0.8,RU,1707700900
154,brisas barra de suchiate,14.55,-92.2167,26.1,68,0,2.58,MX,1707700900
155,polyarnyy,69.1989,33.4478,-19.23,99,100,2.43,RU,1707700900
156,isangel,-19.55,169.2667,28.06,89,100,0.0,VU,1707700900
157,isafjordur,66.0755,-23.124,0.29,84,100,12.35,IS,1707700820
158,thai binh,20.45,106.3333,17.9,60,3,2.13,VN,1707700901
159,ulanhot,46.0833,122.0833,-1.91,54,0,6.81,CN,1707700901
160,kodiak,57.79,-152.4072,2.73,75,0,4.12,US,1707700902
161,brisas de zicatela,15.8369,-97.0419,27.29,69,75,3.09,MX,1707700902
162,olonkinbyen,70.9221,-8.7187,-2.71,62,100,3.75,SJ,1707700902
163,santana do matos,-5.9575,-36.6556,27.25,72,33,6.73,BR,1707700902
164,bayji,34.9311,43.487,13.94,57,0,3.08,IQ,1707700903
165,happy valley-goose bay,53.3168,-60.3315,-0.83,100,100,1.54,CA,1707700903
166,atafu village,-8.5421,-172.5159,28.28,80,100,7.45,TK,1707700742
167,broken hill,-31.95,141.4333,33.21,25,0,2.45,AU,1707700611
168,plottier,-38.9667,-68.2333,24.95,38,0,2.06,AR,1707700904
169,pindushi,62.9152,34.58,-26.52,100,100,0.93,RU,1707700904
170,kismayo,-0.3582,42.5454,25.99,84,100,5.05,SO,1707700904
171,saldanha,-33.0117,17.9442,21.03,83,0,4.04,ZA,1707700905
172,antsiranana,-12.2787,49.2917,24.39,94,100,4.55,MG,1707700905
173,nar'yan-mar,67.6713,53.087,-33.27,100,21,1.79,RU,1707700905
174,geiro,-6.15,36.8667,17.53,94,100,0.4,TZ,1707700906
175,tubarjal,30.4999,38.216,10.66,68,100,3.91,SA,1707700906
176,kambar,27.5868,68.001,15.67,16,96,1.14,PK,1707700907
177,usinsk,65.9939,57.5281,-34.4,100,100,2.24,RU,1707700907
178,codrington,-38.2667,141.9667,24.71,50,0,3.63,AU,1707700907
179,emerald,-23.5333,148.1667,30.19,51,23,4.8,AU,1707700908
180,angaur state,6.906,134.13,27.46,82,100,8.47,PW,1707700908
181,vilyuchinsk,52.9306,158.4028,-12.85,71,5,2.55,RU,1707700908
182,hargeysa,9.56,44.065,17.45,89,37,0.94,SO,1707700908
183,tamanrasset,22.785,5.5228,10.95,10,0,2.57,DZ,1707700909
184,el granada,37.5027,-122.4694,16.01,77,0,3.6,US,1707700909
185,hilo,19.7297,-155.09,28.49,77,40,5.66,US,1707700909
186,basse santa su,13.31,-14.2137,27.55,11,0,0.96,GM,1707700909
187,mata-utu,-13.2816,-176.1745,28.43,81,75,8.98,WF,1707700910
188,mournies,35.4764,24.0092,17.22,63,40,6.17,GR,1707700910
189,callao,-12.0667,-77.15,27.62,69,0,6.69,PE,1707700634
190,vorgashor,67.5833,63.95,-32.47,100,100,1.85,RU,1707700911
191,lamu,-2.2717,40.902,24.99,91,68,2.14,KE,1707700911
192,alice springs,-23.7,133.8833,33.75,38,75,2.57,AU,1707700911
193,madimba,-10.4,40.3333,25.09,94,100,2.31,TZ,1707700911
194,oebisfelde,52.4333,10.9833,9.1,80,100,3.06,DE,1707700912
195,racine,42.7495,-88.0751,-0.42,81,0,0.0,US,1707700845
196,kilindoni,-7.9139,39.6668,27.82,82,94,5.19,TZ,1707700912
197,aioun,16.6614,-9.6149,24.39,9,0,3.92,MR,1707700912
198,tolanaro,-25.0319,46.9987,27.04,83,40,5.14,MG,1707700913
199,bhadrachalam,17.6667,80.8833,18.31,95,93,0.77,IN,1707700913
200,hawaiian paradise park,19.5933,-154.9731,26.73,77,40,5.66,US,1707700913
201,dudinka,69.4058,86.1778,-37.4,99,18,1.79,RU,1707700871
202,oriximina,-1.7656,-55.8661,24.47,92,76,1.72,BR,1707700914
203,plouguerneau,48.6,-4.5,8.21,93,100,2.06,FR,1707700914
204,el sauzal de rodriguez,31.9,-116.6833,14.12,65,0,3.11,MX,1707700914
205,praia da vitoria,38.7333,-27.0667,17.14,88,20,12.75,PT,1707700914
206,schweizer-reneke,-27.1887,25.3293,16.6,88,1,4.75,ZA,1707700915
207,kapuskasing,49.4169,-82.4331,-7.95,93,100,1.54,CA,1707700915
208,ponferrada,42.5466,-6.5962,7.34,97,100,1.56,ES,1707700915
209,eastham,41.8301,-69.9739,4.5,72,0,1.54,US,1707700916
210,novo aripuana,-5.1206,-60.3797,23.54,99,100,1.24,BR,1707700916
211,kailua-kona,19.6406,-155.9956,26.98,75,75,3.6,US,1707700916
212,fort bragg,35.139,-79.006,16.75,92,40,0.0,US,1707700917
213,taseyevo,57.2169,94.8978,-13.37,89,100,3.82,RU,1707700917
214,koulamoutou,-1.1303,12.4736,23.46,92,100,0.54,GA,1707700917
215,ca mau,9.1769,105.15,25.87,68,9,4.62,VN,1707700917
216,rio bueno,-40.3167,-72.9667,17.08,72,4,2.3,CL,1707700918
217,dassa-zoume,7.75,2.1833,27.93,70,100,3.99,BJ,1707700918
218,vilyuysk,63.7553,121.6247,-27.22,96,100,4.92,RU,1707700918
219,santa cruz do sul,-29.7175,-52.4258,24.12,96,82,1.25,BR,1707700665
220,gagarin,55.5529,34.9954,-2.8,97,100,3.71,RU,1707700919
221,tayshet,55.9342,98.0044,-13.8,91,100,4.22,RU,1707700919
222,pisco,-13.7,-76.2167,24.03,78,0,7.2,PE,1707700919
223,menongue,-14.6585,17.691,18.83,86,97,1.03,AO,1707700919
224,irece,-11.3042,-41.8558,21.09,86,100,4.82,BR,1707700763
225,ebon,4.582,168.6964,27.83,81,22,9.35,MH,1707700920
226,francisco i. madero,29.7059,-107.8043,-2.28,66,0,1.78,MX,1707700920
227,jaisinghnagar,23.7,81.3833,14.14,42,58,1.88,IN,1707700920
228,mount gambier,-37.8333,140.7667,29.61,22,0,1.66,AU,1707700884
229,al bawiti,28.3492,28.8659,15.01,42,100,3.39,EG,1707700921
230,yanam,16.7333,82.2167,18.68,95,62,2.04,IN,1707700921
231,saint-pierre,-21.3393,55.4781,24.82,88,0,1.03,RE,1707700787
232,shimoda,34.6667,138.95,10.2,71,82,4.5,JP,1707700780
233,fisterra,42.9049,-9.2629,14.3,86,59,13.27,ES,1707700922
234,kirkmichael,54.2856,-4.5875,4.88,79,8,7.11,IM,1707700922
235,brookings,44.3114,-96.7984,2.32,75,0,3.6,US,1707700923
236,ulsteinvik,62.3432,5.8487,4.07,70,100,0.89,NO,1707700923
237,bel ombre,-4.6167,55.4167,27.91,78,40,2.06,SC,1707700923
238,tazovsky,67.4667,78.7,-33.29,99,99,2.41,RU,1707700924
239,kabalo,-6.05,26.9167,20.19,97,54,1.15,CD,1707700924
240,pandan,14.0453,124.1694,24.88,74,94,9.1,PH,1707700924
241,southport,53.6478,-3.0065,5.57,86,45,5.16,GB,1707700925
242,selfoss,63.9331,-20.9971,-3.77,75,100,6.38,IS,1707700925
243,kegen,43.0197,79.2203,-9.84,81,100,2.13,KZ,1707700925
244,polatsk,55.4859,28.7756,0.37,98,100,3.29,BY,1707700925
245,rabo de peixe,37.8,-25.5833,17.77,99,75,7.72,PT,1707700926
246,benjamin constant,-4.3831,-70.0311,24.07,99,100,0.54,BR,1707700926
247,kavieng,-2.5744,150.7967,29.3,71,100,2.77,PG,1707700926
248,coquimbo,-29.9533,-71.3436,18.98,77,3,3.13,CL,1707700397
249,sur,22.5667,59.5289,22.75,79,12,5.96,OM,1707700927
250,masina,-4.3836,15.3914,25.16,88,75,0.0,CD,1707700927
251,dame-marie,18.5667,-74.4167,25.22,65,0,2.77,HT,1707700927
252,lamarque,-39.423,-65.7021,28.74,17,15,6.93,AR,1707700927
